;Nom ou raison sociale;URL;Type;"Sphere 
d'appartenance";Statut;Qualit_s / missions;Degr_ et forme de l_gitimit_;"Interet / financement
liens d'influence";"Ressources /
moyens mobilisables";"Liens avec d'autres
acteurs";Position;Strategie;Justifications;Poids;Evenements
;Nous Citoyen;http://www.nouscitoyens.fr/;Mouvement Politique;Politique et civile;Militant;Mouvement politique non partisan, qui veut mobiliser les Franeais pour reformer notre pays. ;Denis Payre,entrepreneur, est le fondateur du mouvement en octobre 2013      12 000 adherents ce qui le siturait parmi les 10 premier parties       En 2014 58 elus municipaux;Cotisations des adherents.;Plateforme collaborative: les citoyens soumettent des idees, peuvent participer š des commissions pour la construction du programme politique;;-construire avec les citoyens un projet politique coherent, ambitieux et realiste ;Faire participer le citoyen dans l'elaboration d'un projet politique ;Developper le potientiel de la France et recreer du lien collectif;12 000 adherents ce qui le siturait parmi les 10 premier parties       En 2014 58 elus municipaux;Les elections legislatives 2017
;Change ; change.org ;Activiste ;Civile ;Militant;Partage de petitions;Nç1 des petitions en ligne;"Financement par : -Particuliers et chefs d'entreprises (si accord avec mission sociale)
-Parrainages de petitions
-Sponsorisation de campagnes";#NOM?;;"Pour la democratisation de
l'information et du pouvoir de decision ";Offrir l'acces aux petitions š tous et donner la possibilite de lancer sa propre petition;Problemes de communication et elus et electeurs ;170 millions d'utilisateurs dans 196 pays;Victoires quasi quotidiennes de petitions
;Regard citoyen;http://www.regardscitoyens.org/#&panel1-1; Association;Civile ;Militant;Analyse de l'activite des parlementaires;"Creee en 2009 š l'initiative de citoyens. Reference en terme de transparence politique. Collaborations avec Sciences-Po Analyse de l'acitivite des deputes sur 14 mois apres
 les legislatives de 2012";Financement par des particuliers par l'intermediaire du site web de l'association. Soutien financier de LIEPP;"- Influence sur les citoyens
- partenariat avec le medialab de Sciences-Po et le Centre d'Etudes Europeennes
- plusieurs sites d'actions et d'informations sur les institutions : nosdeputes.fr, nossenateurs.fr, la fabrique de la loi, la loi 2.0";Personnalites politiques  Associations citoyennes ;Pour plus de transparence dans les mecanismes legislatifs ;"Proposer un acces
 simplifie au foncitonnement des
 institutions democratiques
 š partir d'informations publiques ";Trop peu de transparence et d'information sur le fonctionnement effectif des institution;;
;Point d'aencrage;http://pointdaencrage.org/;Think tank;Civile ;Militant;Renouer les fils de la reflexion collective sur des solutions pour la societe dêaujourdêhui.;"Pas de lien d'appartenance š un
parti politique mais se dit de gauche";Cotisation des membres;Debats, Rapports, decryptages;Lien avec differents partis de gauche (EELV, PS, ....);"Les civic Tech ne doivent pas devenir de simples gadgets: 
les gouvernements donneraient l'illusion d'une modernisation 
Deux modeles entrent en concurrence : modele libre ou proprietaire 
Distinction de la pol-tech et de la gov-tech";"Preserver les civic tech comme outil du bien commun. 
Distinguer d'une application commerciale 
Ouverture du code et des technologies aux populations marginalisees
Favoriser la croissance d'un modele ouvert";"Les Civic Tech peuvent avoir un reel impact en France 
(comme c'est le cas en Colombie) il faut seulement plus 
de moyens pour changer d'echelle";"Analyse approfondie de 
150 initiatives";Cafes cremes, debats
;Accropolis;http://accropolis.fr;Association;Civile ;"Critiques
externes";"Analyse en direct les
seances des questions
au gouvernement š 
l'Assemblee";;Dons sur Twitch, publicites sur youtube;"Stream en direct avec reactions dans le ""chat"" et creations de strawpoll";;Encourager le debat democratique par la creation d'une chaîne accessible š tous et permettant de reagir en direct;Media Horizontal : echange avec les spectateurs;;1er talk show sur Twitch de France, 20000 abonnes sur Youtube, 6500 followers sur Twitch  et 150000 vues;Debats politiques ou parlementaires,  soirees electorales, rencontres diplomatiques, ...
;Voxe;http://www.voxe.org;Association;Civile ;"Reformateur
externe";"Comparateur de programme
des candidats et sensibilisation
aux enjeux electoraux";"
""Creee en 2012 cette association a developpe des antennes
dans 16 pays du monde.
Recompense par lêAlliance des Civilisations des 
Nations Unies et le Google Impact Challenge""";"Financement participatif
Soutenu par Kawaa
Leur comparateur peut
etre integre š des sites
web
Initiative neutre et transpartisane";"- Campagnes d'information
neutres
- comparateur de programmes 
electoraux
- Intelligence atificielle 
pour s'informer sur les elections
Medias : WhatTheVoxe?
HappyDemocracy
- rencontre des equipes de campagne pour avoir plus d'informations sur les
programmes 
- plateforme collaborative
- annexes dans le monde entier (16 pays)";"Personnalites politiques
Assocication similaires : Kawaa";"Prolongement de la democratie participative
Association neutre et apartisane
Permettre de rendre plus lisible le 
debat politique et d'augmenter
l'engagement citoyen";"Propose un comparateur de 
programmes, deux newsletters 
d'information sur la vie publique et
politique, des campagnes d'informations
neutres.
Les utilisateurs peuvent enrichir la plateforme";"Une defiance grandissante envers les 
politique et un desengagement";"Communautes
dans 16 pays
dans le monde.";
;Questionnezvoselus                                                    Questionnezvoscandidats;Questionnezvoselus.org                    Questionnezvoscandidats.org ;Association ;Civile ;Millitant;"Permettre aux citoyens de poser publiquement des questions š leurs elus et aux elus dêexpliquer leurs actions et dêafficher leur volonte de rendre des comptes š leurs electeurs
";Creee en decembre 2012             Regroupant actuellement 6  autres organisations situee š l'international parraine par plusieurs professeurs universitaires et par le CEVIPOF;Financement par les particuliers            3 operations de financement participatif crowdfunding;une plateforme independante dediee š lêechange entre les elus et les citoyens;personnalites politiques;Renforcer le lien entre les elus et les candidats afin dêinitier et dêentretenir un cercle vertueux ;Permettre de suivre les activites parlementaires, de garantir leur transparence et de renforcer le dialogue entre les citoyens et leurs representants. ;"en 2012, 54% des citoyens estiment que la democratie ne fonctionne âpas tres bien ou pas bien du toutŽ (CEVIPOF)
En 2016, 80% des Franeais declarent se sentir abandonnes par les politiques (Institut Sociovision _ http://bit.ly/1p7IQkx)";Possibilites de questionnement š plus de 1500 elus;
;LMP;http://www.liegeymullerpons.fr/;Start up ;Civile;Activiste;"Start-up de strategie
electorale";"Participation š la campagne 
d'Emmanuel Macron 
et d'Anne Hidalgo en 2014";;"Travail avec des logiciels
pousses d'analyse de donnees";Politiques;"Propose un logiciel permettant de piloter au mieux une 
campagne politique";"Fournir un logiciel d'analyse de donnees tres pointu
Organisation d'un travail de circonscription
Analyse des donnees strategiques
Entrer en discussiona avec des electeurs";"Utiliser les grosses donnees pour
moderniser les campagnes politiques et 
permettre une meilleure analyse du terrain";Projets dans 14 pays europeens;Creation en 2013
;Kawaa;https://www.kawaa.co/fr/;Start-up;Civile;"Reformateur
externe";"Utiliser la technologie
pour entretenir les relations
humaines
Investit dans l'innovation 
sociale";"Partenaire de la mairie de Parie en 2016
pour la Nuit des debats
Soutenu par la Ville de Puteaux et de
Boulogne-Billancourt";"Abonnements et prestations
payes par les organisateurs
qui utilisent la plateforme
Investisseurs prives et publics
(conseil departemental
des Hauts de Seine, BPiFrance 
et France Active)
Soutenu par la Chaire 
entrepreunariat social de
l'ESSEC";;"Associations citoyennes
Start-up
Mouvements citoyens";"Rassembler des personnes qui veulent creer des rencontres
entre citoyens, associations, collectifs
Ambition de developper la participation citoyenne";;;;"Initie le Printemps Citoyen 
en 2017"
;Fluicity;https://www.flui.city;;;"Reformateur
externe";;;;;;;;;;
;#MaVoix;https://www.mavoix.info;Collectif;Civile;"""Hackeur""
embarque";"Faire elire des citoyens š 
l'Assemblee Nationnale lors
des legislatives de 2017";;;;;"
Ce collectif souhaite donner plus de place aux
citoyens dans la prise de decisions publiques.
Il souhaite entrer š l'Assemblee Nationnale";"Faire elire des volontaires formes et tires au sort pour faire voter les
decisions des electeurs pendant la duree du mandat.
Decision collective de ce qui sera vote par le depute choisi dans
le collectif";"Les personnes qui gouvernent echouent 
les uns apres les autres car les anciens modeles 
ne sont plus adaptes. Beaucoup de citoyens
se desinteressent de la politique
et finissent par ne plus voter";;"Envoyer un candidat aux
legislatives de 2017
Legislatives partielles 2016 š
Starsbourg : le candidat a
obtenu 4,6% des voix"
;Open Democracy Now;http://opendemocracynow.net/;Collectif;Civile et le secteur public;;lêelaboration collaborative dêoutils open source de concertation en ligne et de co-redaction de la loi;;;;;;;;;
;Integrity Watch (cree par la Transparency International Finance);http://www.integritywatch.fr/;Base de donnees;Public;Agence;Lêobjectif est de mettre š disposition, sur une plateforme unique, un ensemble dêinformations sur les parlementaires et lobbys difficiles d'acces et souvent dispersees sur plusieurs sites internet.;Soutenu par la commission europeenne;co-finance par lêOpen Society Initiative for Europe (OSIFE), avec une contribution de la Fondation Roi Baudouin (FRB).;Technologie D3.js pour mieux representer les informations obtenues;Commission europeenne, Assemblee nationale;Plus de transparence est necessaire;Regrouper de nombreuses donnees sur une meme plateforme et les visualiser sous une forme intuitive;Les lobbys ont parfois plus de contr»les que les citoyens sur les decisions parlementaires;Plateforme officielle pour tous les citoyens europeens;
;Data.gouv;data.gouv.fr;BDD;Gouvernement/visible par tous;Critique externe;Plateforme ouverte des donnees publiques franeaise ;Cree par le gouvernement et actualise ;;INSEE+service public de la donnee ;INSEE;S'engage š une transparence absolue pour toute donnee publique;Laisser un tres grande nombre de donnees libre d'acces et de reutilisation ;;Plateforme officiel du gouvernement franeais ;
;La fabrique de la loi;lafabriquedelaloi.fr;BDD, statistiques et textes de lois;Civile;Critique externe;Infos sur les textes de lois, leurs votants, les amendements effectues ;Lance en 2011 par un projet commun de regards citoyens, medialab et le centre d'etudes europeennes ;Neutre;Science PO, laboratoire polytechnique de milan, donnees officielles du senat et de l'assemblee nationale;nosdeputes.fr et nos.senateurs.fr;Promouvoir la liberation et la reutilisation des donnees parlementaires š des fins democratique;Mettre š disposition de tous et de maniere organisee et claire les statistiques parlementaires;;;
;Stig;getstig.org;Application  liee š une startup ;Civile;Reformateur externe;Permettre aux citoyens de voter pour en candidat se presentant de lui-meme en ligne, propositions et votes de lois par les citoyens directement;Lance en fevrier 2016,;Lien avec jean massiet d'accropolis, finance par publicites;;Accropolis.fr;Reformer completement la democratie institutionnelle et permettre aux citoyens de s'exprimer par eux-memes ;Votes et propositions en ligne;Remedier š la crise de la democratie ;Faible. Tres peu de membres et on commencent š peine š en parler ;
;Verite Poliitique;http://www.veritepolitique.fr/;Association;Civile;Activiste;"Recensement et retranscription
des promesses de personnalites
politiques
Base de donnees des propos
Fact checking";;"Association non partisane
Financement par des membres
de l'association
Dons de citoyens";"Medias comme fact-checkeur:
Les decodeurs du Monde
Le Vrai du Faux France Info
Arte, Europe 1, le Figaro
Les lecteurs peuvent
soumettre des verites politiques";"Liens avec les medias
Acropolis
Participation š des inititives
citoyennes";"Association citoyenne ne soutenant aucun parti.
Souhaitent faciliter l'esprit critique
Souhaitent rehabiliter la parole politique";"Creer un suivi de l'action politique
Creation d'une base de donnees sur les propos tenus
Droit de reponse donne š tous les politiques mentionnes sur le site
Comparateur factuel entre historiques des candidats";"Il faut revivifier le debat democratique et assurer
une verification des propos tenus par les candidats
La legitimite de la scene politique est affaiblie
car les candidats ne sont pas tenus
responsables de leur propos
Parole politique trop peu contr»lee";;"Fact-check des questions
au gouvernement
Creation en 2015"
;AgoraLabTV;http://agoralab.fr/TV/;Media sur internet;Civile;Activiste;"Permet aux citoyens
de participer š la preparation
d'un debat televise.
";"Participation š deux projets de debats
avec France 3 Provence Alpes
et TVM Est Parisien";;"Participation au projet Open 
Democracy Now";;;"Les citoyens proposent des sujets de debat, le prepare puis
vont contacter, par l'intermediaire de ce site des chaines de
television pour faire passer le debat sur les chaines.
Agoralab souhaite redonner plus de poid aux citoyens dans les
debats politiques";"Les citoyens ont une defiance importante
š l'egard de la politique mais leur interet pour la 
politique reste important. Ils n'ont pas la part
qu'ils devraient dans les medias";;Creation en 2016
;Nous Citoyens;http://www.nouscitoyens.fr;Association;Civile;Militant;"Presenter des delegues
regionaux autout d'un programme
ecrit par des citoyens";;"Pas de lien avec d'autres
partis
Financement par les adherents
ou par dons sur le site web";"Soutenus par des intellectuels
Mise en place du vote par
blockchain grŠce š la start-up Belem";Start-up Belem;"Creation d'un mouvement citoyen pour exprimer une frustration
vis š vis de la situation politique actuelle et de l'inaction
de certains politiques";"Presentent des candidats aux elections departementales et 
regionales";;;Creation en 2013
;Engage;http://engage.world/;;;;;;;;;;;;;
